Sl.No,Transaction ID,Product,Price/Unit,Quantity,Total Spent,Payment Method,Purchase_Mode,Transaction Date,Discount Applied,Transaction_Month_Name,Transaction Day,Transaction Quarter,Revenue,Avg_Spend/Unit,Top sales,Bulk Order,Product Price Band
28,TXN_1598860,Food,24.5,10.0,245.0,Cash,In-store,2022-10-23,True,October,Sunday,4,High,24.5,1,0,Medium
29,TXN_7138501,Patisserie,36.5,5.0,182.5,Credit Card,In-store,2022-03-10,False,March,Thursday,1,High,36.5,0,0,High
30,TXN_5444504,Food,20.0,10.0,200.0,Digital Wallet,Online,2022-04-26,False,April,Tuesday,2,High,20.0,1,0,Medium
31,TXN_4353295,Patisserie,12.5,8.0,100.0,Credit Card,Online,2022-04-05,True,April,Tuesday,2,Medium,12.5,0,0,Low
32,TXN_1543244,Food,23.0,8.0,184.0,Credit Card,Online,2024-10-25,True,October,Friday,4,High,23.0,0,0,Medium
33,TXN_1494700,Electric household essentials,35.0,9.0,315.0,Credit Card,In-store,2024-03-07,Unknown,March,Thursday,1,High,35.0,1,0,High
34,TXN_1621497,Patisserie,23.0,6.0,138.0,Cash,In-store,2023-02-18,Unknown,February,Saturday,1,Medium,23.0,0,0,Medium
35,TXN_6398436,Beverages,41.0,7.0,287.0,Credit Card,In-store,2024-06-03,True,June,Monday,2,High,41.0,1,0,High
36,TXN_9065245,Food,38.0,2.0,76.0,Digital Wallet,In-store,2024-03-10,False,March,Sunday,1,Medium,38.0,0,0,High
37,TXN_6963438,Furniture,18.5,5.0,92.5,Credit Card,Online,2024-04-23,True,April,Tuesday,2,Medium,18.5,0,0,Low
38,TXN_8312797,Beverages,20.0,5.0,100.0,Digital Wallet,Online,2022-06-03,Unknown,June,Friday,2,Medium,20.0,0,0,Medium
39,TXN_5836005,Butchers,38.0,5.0,190.0,Credit Card,In-store,2024-10-19,False,October,Saturday,4,High,38.0,0,0,High
40,TXN_4223250,Beverages,36.5,7.0,255.5,Cash,Online,2023-05-31,True,May,Wednesday,2,High,36.5,1,0,High
41,TXN_1019817,Electric household essentials,18.5,5.0,92.5,Cash,Online,2022-08-01,Unknown,August,Monday,3,Medium,18.5,0,0,Low
42,TXN_1110407,Butchers,39.5,7.0,276.5,Digital Wallet,In-store,2022-10-21,Unknown,October,Friday,4,High,39.5,1,0,High
43,TXN_6276518,Beverages,15.5,3.0,46.5,Cash,In-store,2024-04-08,Unknown,April,Monday,2,Low,15.5,0,0,Low
44,TXN_4740738,Food,8.0,1.0,8.0,Digital Wallet,In-store,2022-04-19,Unknown,April,Tuesday,2,Low,8.0,0,0,Low
45,TXN_9587232,Food,21.5,5.0,107.5,Digital Wallet,Online,2023-02-28,True,February,Tuesday,1,Medium,21.5,0,0,Medium
46,TXN_6404316,Computers and electric accessories,27.5,6.0,165.0,Credit Card,Online,2022-04-06,False,April,Wednesday,2,High,27.5,0,0,Medium
47,TXN_9331642,Patisserie,20.0,4.0,80.0,Credit Card,Online,2022-07-06,True,July,Wednesday,3,Medium,20.0,0,0,Medium
48,TXN_9729422,Butchers,27.5,6.0,165.0,Credit Card,Online,2024-12-31,True,December,Tuesday,4,High,27.5,0,0,Medium
49,TXN_8425168,Milk Products,27.5,7.0,192.5,Cash,In-store,2022-03-12,Unknown,March,Saturday,1,High,27.5,1,0,Medium
50,TXN_5379241,Butchers,33.5,10.0,335.0,Credit Card,In-store,2023-04-12,False,April,Wednesday,2,High,33.5,1,0,High
51,TXN_8413369,Computers and electric accessories,11.0,6.0,66.0,Credit Card,Online,2024-03-09,True,March,Saturday,1,Low,11.0,0,0,Low
52,TXN_4836321,Food,21.5,10.0,215.0,Digital Wallet,In-store,2023-01-14,False,January,Saturday,1,High,21.5,1,0,Medium
53,TXN_9451794,Milk Products,32.0,3.0,96.0,Credit Card,Online,2024-01-28,Unknown,January,Sunday,1,Medium,32.0,0,0,High
54,TXN_8218431,Furniture,38.0,5.0,190.0,Digital Wallet,Online,2023-04-29,False,April,Saturday,2,High,38.0,0,0,High
55,TXN_2383377,Furniture,14.0,3.0,42.0,Digital Wallet,In-store,2023-04-02,Unknown,April,Sunday,2,Low,14.0,0,0,Low
56,TXN_7909783,Computers and electric accessories,11.0,1.0,11.0,Credit Card,Online,2023-12-17,True,December,Sunday,4,Low,11.0,0,0,Low
57,TXN_5046007,Computers and electric accessories,26.0,9.0,234.0,Cash,Online,2024-07-22,True,July,Monday,3,High,26.0,1,0,Medium
58,TXN_6966182,Furniture,27.5,9.0,247.5,Cash,Online,2024-09-06,Unknown,September,Friday,3,High,27.5,1,0,Medium
59,TXN_3424571,Milk Products,12.5,7.0,87.5,Credit Card,Online,2023-01-13,False,January,Friday,1,Medium,12.5,0,0,Low
60,TXN_6820452,Computers and electric accessories,39.5,8.0,316.0,Credit Card,In-store,2023-04-18,False,April,Tuesday,2,High,39.5,1,0,High
61,TXN_1998771,Milk Products,27.5,3.0,82.5,Digital Wallet,Online,2024-11-07,True,November,Thursday,4,Medium,27.5,0,0,Medium
62,TXN_1132097,Patisserie,20.0,9.0,180.0,Credit Card,In-store,2023-05-18,True,May,Thursday,2,High,20.0,0,0,Medium
63,TXN_5418871,Computers and electric accessories,36.5,7.0,255.5,Cash,In-store,2022-03-16,False,March,Wednesday,1,High,36.5,1,0,High
64,TXN_6952276,Food,36.5,10.0,365.0,Credit Card,Online,2024-08-02,True,August,Friday,3,High,36.5,1,0,High
65,TXN_6340470,Butchers,6.5,6.0,39.0,Credit Card,In-store,2022-10-12,Unknown,October,Wednesday,4,Low,6.5,0,0,Low
66,TXN_5885894,Patisserie,24.5,10.0,245.0,Credit Card,In-store,2022-02-09,False,February,Wednesday,1,High,24.5,1,0,Medium
67,TXN_3671271,Patisserie,21.5,8.0,172.0,Cash,In-store,2023-11-27,False,November,Monday,4,High,21.5,0,0,Medium
68,TXN_2719047,Butchers,33.5,4.0,134.0,Credit Card,Online,2023-11-21,Unknown,November,Tuesday,4,Medium,33.5,0,0,High
69,TXN_9908330,Food,30.5,4.0,122.0,Credit Card,Online,2022-09-29,True,September,Thursday,3,Medium,30.5,0,0,High
70,TXN_2016332,Patisserie,5.0,6.0,30.0,Digital Wallet,Online,2022-12-17,True,December,Saturday,4,Low,5.0,0,0,Low
71,TXN_7363165,Beverages,9.5,7.0,66.5,Digital Wallet,In-store,2023-03-25,Unknown,March,Saturday,1,Low,9.5,0,0,Low
72,TXN_1260450,Furniture,36.5,10.0,365.0,Digital Wallet,In-store,2023-12-24,True,December,Sunday,4,High,36.5,1,0,High
73,TXN_6315447,Patisserie,14.0,9.0,126.0,Digital Wallet,In-store,2025-01-12,False,January,Sunday,1,Medium,14.0,0,0,Low
74,TXN_5973228,Beverages,14.0,6.0,84.0,Digital Wallet,Online,2023-12-25,True,December,Monday,4,Medium,14.0,0,0,Low
75,TXN_2780662,Milk Products,32.0,10.0,320.0,Digital Wallet,In-store,2023-01-19,Unknown,January,Thursday,1,High,32.0,1,0,High
76,TXN_1142481,Beverages,36.5,6.0,219.0,Cash,In-store,2023-02-07,True,February,Tuesday,1,High,36.5,1,0,High
77,TXN_3933685,Computers and electric accessories,33.5,10.0,335.0,Credit Card,Online,2022-04-15,Unknown,April,Friday,2,High,33.5,1,0,High
78,TXN_8955685,Food,33.5,2.0,67.0,Digital Wallet,Online,2023-04-24,Unknown,April,Monday,2,Low,33.5,0,0,High
79,TXN_1061030,Computers and electric accessories,36.5,4.0,146.0,Digital Wallet,Online,2024-07-14,True,July,Sunday,3,Medium,36.5,0,0,High
80,TXN_7821493,Patisserie,29.0,10.0,290.0,Credit Card,In-store,2024-12-17,Unknown,December,Tuesday,4,High,29.0,1,0,Medium
81,TXN_8114453,Electric household essentials,35.0,2.0,70.0,Digital Wallet,In-store,2023-05-09,False,May,Tuesday,2,Medium,35.0,0,0,High
82,TXN_8024803,Furniture,20.0,8.0,160.0,Digital Wallet,In-store,2024-08-22,False,August,Thursday,3,Medium,20.0,0,0,Medium
83,TXN_4532214,Patisserie,15.5,6.0,93.0,Credit Card,In-store,2024-03-25,False,March,Monday,1,Medium,15.5,0,0,Low
84,TXN_5062634,Patisserie,41.0,2.0,82.0,Credit Card,Online,2023-07-06,True,July,Thursday,3,Medium,41.0,0,0,High
85,TXN_8244728,Food,14.0,1.0,14.0,Credit Card,In-store,2024-04-27,Unknown,April,Saturday,2,Low,14.0,0,0,Low
86,TXN_3858145,Furniture,35.0,3.0,105.0,Digital Wallet,Online,2023-04-01,Unknown,April,Saturday,2,Medium,35.0,0,0,High
87,TXN_2646301,Furniture,39.5,9.0,355.5,Credit Card,In-store,2022-12-07,False,December,Wednesday,4,High,39.5,1,0,High
88,TXN_2414530,Milk Products,15.5,8.0,124.0,Cash,Online,2024-06-20,Unknown,June,Thursday,2,Medium,15.5,0,0,Low
89,TXN_8322008,Food,9.5,3.0,28.5,Cash,In-store,2024-08-20,False,August,Tuesday,3,Low,9.5,0,0,Low
90,TXN_3035546,Beverages,24.5,2.0,49.0,Credit Card,In-store,2023-07-12,True,July,Wednesday,3,Low,24.5,0,0,Medium
91,TXN_7296720,Patisserie,9.5,5.0,47.5,Cash,Online,2024-09-12,Unknown,September,Thursday,3,Low,9.5,0,0,Low
92,TXN_8414071,Patisserie,21.5,9.0,193.5,Cash,In-store,2023-05-02,True,May,Tuesday,2,High,21.5,1,0,Medium
93,TXN_5705131,Milk Products,9.5,4.0,38.0,Digital Wallet,Online,2024-03-27,True,March,Wednesday,1,Low,9.5,0,0,Low
94,TXN_5938028,Computers and electric accessories,14.0,1.0,14.0,Digital Wallet,Online,2023-02-20,True,February,Monday,1,Low,14.0,0,0,Low
95,TXN_1958345,Electric household essentials,9.5,8.0,76.0,Cash,In-store,2024-06-28,Unknown,June,Friday,2,Medium,9.5,0,0,Low
96,TXN_1528585,Electric household essentials,12.5,1.0,12.5,Credit Card,In-store,2024-09-17,Unknown,September,Tuesday,3,Low,12.5,0,0,Low
97,TXN_9619859,Butchers,35.0,4.0,140.0,Cash,In-store,2024-04-05,False,April,Friday,2,Medium,35.0,0,0,High
98,TXN_6158929,Food,20.0,6.0,120.0,Cash,Online,2022-01-29,True,January,Saturday,1,Medium,20.0,0,0,Medium
99,TXN_7209607,Food,30.5,6.0,183.0,Credit Card,In-store,2023-08-25,Unknown,August,Friday,3,High,30.5,0,0,High
100,TXN_5328604,Food,33.5,10.0,335.0,Cash,Online,2024-07-08,False,July,Monday,3,High,33.5,1,0,High
101,TXN_4324641,Patisserie,27.5,6.0,165.0,Cash,In-store,2023-11-07,False,November,Tuesday,4,High,27.5,0,0,Medium
102,TXN_9464391,Food,30.5,10.0,305.0,Cash,Online,2023-11-17,Unknown,November,Friday,4,High,30.5,1,0,High
103,TXN_2940500,Computers and electric accessories,41.0,1.0,41.0,Cash,In-store,2024-11-05,False,November,Tuesday,4,Low,41.0,0,0,High
104,TXN_1945960,Butchers,15.5,10.0,155.0,Digital Wallet,In-store,2023-04-06,False,April,Thursday,2,Medium,15.5,0,0,Low
105,TXN_8219228,Computers and electric accessories,18.5,5.0,92.5,Cash,Online,2022-05-27,False,May,Friday,2,Medium,18.5,0,0,Low
106,TXN_5471094,Butchers,6.5,3.0,19.5,Digital Wallet,In-store,2022-08-24,False,August,Wednesday,3,Low,6.5,0,0,Low
107,TXN_9255329,Furniture,41.0,7.0,287.0,Digital Wallet,In-store,2022-03-02,False,March,Wednesday,1,High,41.0,1,0,High
108,TXN_9279462,Furniture,11.0,3.0,33.0,Credit Card,In-store,2022-02-05,False,February,Saturday,1,Low,11.0,0,0,Low
109,TXN_7956502,Butchers,15.5,7.0,108.5,Credit Card,In-store,2024-04-30,Unknown,April,Tuesday,2,Medium,15.5,0,0,Low
110,TXN_1352831,Food,36.5,3.0,109.5,Credit Card,Online,2023-10-31,Unknown,October,Tuesday,4,Medium,36.5,0,0,High
111,TXN_4372655,Food,17.0,7.0,119.0,Cash,In-store,2024-11-03,False,November,Sunday,4,Medium,17.0,0,0,Low
112,TXN_5419965,Computers and electric accessories,20.0,6.0,120.0,Digital Wallet,Online,2024-01-16,False,January,Tuesday,1,Medium,20.0,0,0,Medium
113,TXN_7655704,Computers and electric accessories,35.0,8.0,280.0,Digital Wallet,Online,2022-08-08,True,August,Monday,3,High,35.0,1,0,High
114,TXN_8210621,Beverages,39.5,6.0,237.0,Digital Wallet,Online,2024-01-03,False,January,Wednesday,1,High,39.5,1,0,High
115,TXN_6908058,Computers and electric accessories,15.5,10.0,155.0,Cash,In-store,2023-07-22,False,July,Saturday,3,Medium,15.5,0,0,Low
116,TXN_9204828,Computers and electric accessories,41.0,7.0,287.0,Cash,Online,2022-03-05,Unknown,March,Saturday,1,High,41.0,1,0,High
117,TXN_3208232,Electric household essentials,15.5,4.0,62.0,Digital Wallet,In-store,2024-01-13,False,January,Saturday,1,Low,15.5,0,0,Low
118,TXN_8586300,Computers and electric accessories,27.5,6.0,165.0,Credit Card,Online,2022-02-08,False,February,Tuesday,1,High,27.5,0,0,Medium
119,TXN_2212643,Food,8.0,4.0,32.0,Credit Card,In-store,2022-12-29,False,December,Thursday,4,Low,8.0,0,0,Low
120,TXN_8215469,Milk Products,38.0,10.0,380.0,Digital Wallet,In-store,2024-03-16,Unknown,March,Saturday,1,High,38.0,1,0,High
121,TXN_3403695,Beverages,38.0,8.0,304.0,Cash,Online,2024-09-27,True,September,Friday,3,High,38.0,1,0,High
122,TXN_2878134,Butchers,15.5,9.0,139.5,Credit Card,In-store,2024-05-10,Unknown,May,Friday,2,Medium,15.5,0,0,Low
123,TXN_3123571,Furniture,38.0,3.0,114.0,Digital Wallet,Online,2022-08-07,Unknown,August,Sunday,3,Medium,38.0,0,0,High
124,TXN_9940030,Beverages,32.0,6.0,192.0,Credit Card,In-store,2022-01-19,True,January,Wednesday,1,High,32.0,0,0,High
125,TXN_6195024,Beverages,33.5,5.0,167.5,Cash,Online,2024-08-09,False,August,Friday,3,High,33.5,0,0,High
126,TXN_5243520,Patisserie,18.5,5.0,92.5,Cash,In-store,2024-05-16,False,May,Thursday,2,Medium,18.5,0,0,Low
127,TXN_4608122,Butchers,23.0,10.0,230.0,Digital Wallet,Online,2022-10-01,False,October,Saturday,4,High,23.0,1,0,Medium
128,TXN_6923419,Furniture,11.0,8.0,88.0,Digital Wallet,Online,2022-06-28,False,June,Tuesday,2,Medium,11.0,0,0,Low
129,TXN_1112365,Food,39.5,10.0,395.0,Cash,Online,2023-09-24,Unknown,September,Sunday,3,High,39.5,1,0,High
130,TXN_6989569,Milk Products,35.0,2.0,70.0,Credit Card,In-store,2022-01-17,False,January,Monday,1,Medium,35.0,0,0,High
131,TXN_5647023,Furniture,39.5,4.0,158.0,Digital Wallet,In-store,2022-04-14,True,April,Thursday,2,Medium,39.5,0,0,High
132,TXN_8049831,Beverages,12.5,2.0,25.0,Cash,In-store,2023-01-05,False,January,Thursday,1,Low,12.5,0,0,Low
133,TXN_3831408,Milk Products,5.0,10.0,50.0,Digital Wallet,Online,2022-02-11,True,February,Friday,1,Low,5.0,0,0,Low
134,TXN_1249742,Milk Products,39.5,10.0,395.0,Digital Wallet,Online,2024-03-21,Unknown,March,Thursday,1,High,39.5,1,0,High
135,TXN_4633046,Computers and electric accessories,6.5,5.0,32.5,Digital Wallet,Online,2023-08-25,Unknown,August,Friday,3,Low,6.5,0,0,Low
136,TXN_3519817,Butchers,30.5,4.0,122.0,Digital Wallet,Online,2022-06-14,True,June,Tuesday,2,Medium,30.5,0,0,High
137,TXN_1154680,Furniture,35.0,6.0,210.0,Credit Card,Online,2022-12-18,False,December,Sunday,4,High,35.0,1,0,High
138,TXN_9177662,Furniture,24.5,6.0,147.0,Cash,In-store,2024-09-30,True,September,Monday,3,Medium,24.5,0,0,Medium
139,TXN_4801202,Furniture,5.0,3.0,15.0,Digital Wallet,Online,2024-05-31,False,May,Friday,2,Low,5.0,0,0,Low
140,TXN_6149882,Beverages,33.5,1.0,33.5,Credit Card,Online,2023-01-22,Unknown,January,Sunday,1,Low,33.5,0,0,High
141,TXN_8809000,Milk Products,8.0,3.0,24.0,Cash,In-store,2023-01-10,Unknown,January,Tuesday,1,Low,8.0,0,0,Low
142,TXN_5008001,Electric household essentials,18.5,6.0,111.0,Credit Card,Online,2024-11-04,Unknown,November,Monday,4,Medium,18.5,0,0,Low
143,TXN_5111184,Milk Products,20.0,6.0,120.0,Credit Card,Online,2024-07-18,True,July,Thursday,3,Medium,20.0,0,0,Medium
144,TXN_1499774,Butchers,8.0,5.0,40.0,Credit Card,In-store,2022-12-15,True,December,Thursday,4,Low,8.0,0,0,Low
145,TXN_2565828,Food,39.5,10.0,395.0,Credit Card,Online,2022-02-18,False,February,Friday,1,High,39.5,1,0,High
146,TXN_6312937,Computers and electric accessories,23.0,2.0,46.0,Digital Wallet,In-store,2024-02-09,False,February,Friday,1,Low,23.0,0,0,Medium
147,TXN_8775503,Computers and electric accessories,12.5,2.0,25.0,Digital Wallet,In-store,2024-10-11,False,October,Friday,4,Low,12.5,0,0,Low
148,TXN_3541663,Furniture,6.5,5.0,32.5,Digital Wallet,In-store,2023-07-19,Unknown,July,Wednesday,3,Low,6.5,0,0,Low
149,TXN_4947386,Food,30.5,10.0,305.0,Cash,Online,2024-11-12,False,November,Tuesday,4,High,30.5,1,0,High
150,TXN_4276451,Beverages,36.5,1.0,36.5,Credit Card,Online,2024-05-27,False,May,Monday,2,Low,36.5,0,0,High
151,TXN_3380295,Beverages,12.5,5.0,62.5,Cash,Online,2023-02-08,False,February,Wednesday,1,Low,12.5,0,0,Low
152,TXN_1390866,Patisserie,12.5,2.0,25.0,Digital Wallet,In-store,2024-03-30,Unknown,March,Saturday,1,Low,12.5,0,0,Low
153,TXN_8616546,Beverages,35.0,8.0,280.0,Credit Card,Online,2023-04-01,True,April,Saturday,2,High,35.0,1,0,High
154,TXN_1804192,Furniture,15.5,9.0,139.5,Cash,Online,2024-06-07,Unknown,June,Friday,2,Medium,15.5,0,0,Low
155,TXN_5046818,Butchers,36.5,6.0,219.0,Digital Wallet,In-store,2024-07-03,False,July,Wednesday,3,High,36.5,1,0,High
156,TXN_4626993,Butchers,23.0,7.0,161.0,Credit Card,Online,2023-08-23,False,August,Wednesday,3,High,23.0,0,0,Medium
157,TXN_5256349,Beverages,6.5,4.0,26.0,Digital Wallet,Online,2022-09-27,False,September,Tuesday,3,Low,6.5,0,0,Low
158,TXN_3822751,Butchers,23.0,9.0,207.0,Digital Wallet,In-store,2024-03-04,False,March,Monday,1,High,23.0,1,0,Medium
159,TXN_1882210,Food,24.5,4.0,98.0,Digital Wallet,In-store,2022-03-02,Unknown,March,Wednesday,1,Medium,24.5,0,0,Medium
160,TXN_9209383,Electric household essentials,14.0,9.0,126.0,Credit Card,In-store,2024-09-16,False,September,Monday,3,Medium,14.0,0,0,Low
161,TXN_2196324,Butchers,35.0,9.0,315.0,Cash,In-store,2024-02-08,True,February,Thursday,1,High,35.0,1,0,High
162,TXN_7020797,Food,17.0,5.0,85.0,Digital Wallet,In-store,2024-04-20,False,April,Saturday,2,Medium,17.0,0,0,Low
163,TXN_7594834,Furniture,41.0,1.0,41.0,Credit Card,In-store,2024-03-16,False,March,Saturday,1,Low,41.0,0,0,High
164,TXN_3229559,Beverages,14.0,9.0,126.0,Digital Wallet,Online,2022-12-02,True,December,Friday,4,Medium,14.0,0,0,Low
165,TXN_1336269,Beverages,14.0,6.0,84.0,Digital Wallet,Online,2024-12-25,Unknown,December,Wednesday,4,Medium,14.0,0,0,Low
166,TXN_2479337,Patisserie,41.0,7.0,287.0,Credit Card,In-store,2023-08-05,Unknown,August,Saturday,3,High,41.0,1,0,High
167,TXN_8784273,Computers and electric accessories,24.5,4.0,98.0,Cash,In-store,2022-05-02,Unknown,May,Monday,2,Medium,24.5,0,0,Medium
168,TXN_7771182,Electric household essentials,32.0,6.0,192.0,Credit Card,In-store,2022-01-20,Unknown,January,Thursday,1,High,32.0,0,0,High
169,TXN_1132339,Beverages,20.0,4.0,80.0,Credit Card,Online,2023-07-12,Unknown,July,Wednesday,3,Medium,20.0,0,0,Medium
170,TXN_8283332,Beverages,38.0,6.0,228.0,Cash,Online,2023-11-13,False,November,Monday,4,High,38.0,1,0,High
171,TXN_9496190,Computers and electric accessories,30.5,3.0,91.5,Cash,Online,2024-02-24,Unknown,February,Saturday,1,Medium,30.5,0,0,High
172,TXN_5205620,Patisserie,20.0,7.0,140.0,Cash,In-store,2023-06-26,True,June,Monday,2,Medium,20.0,0,0,Medium
173,TXN_4448047,Milk Products,15.5,6.0,93.0,Credit Card,Online,2022-06-15,False,June,Wednesday,2,Medium,15.5,0,0,Low
174,TXN_2163190,Patisserie,27.5,2.0,55.0,Digital Wallet,Online,2022-05-30,True,May,Monday,2,Low,27.5,0,0,Medium
175,TXN_3338914,Food,33.5,10.0,335.0,Digital Wallet,Online,2024-05-29,False,May,Wednesday,2,High,33.5,1,0,High
176,TXN_8959624,Milk Products,5.0,7.0,35.0,Digital Wallet,Online,2024-12-18,False,December,Wednesday,4,Low,5.0,0,0,Low
177,TXN_1821423,Furniture,41.0,2.0,82.0,Credit Card,Online,2022-01-13,Unknown,January,Thursday,1,Medium,41.0,0,0,High
178,TXN_1175914,Butchers,23.0,6.0,138.0,Cash,In-store,2023-05-19,False,May,Friday,2,Medium,23.0,0,0,Medium
179,TXN_9760482,Computers and electric accessories,20.0,9.0,180.0,Digital Wallet,In-store,2023-01-06,True,January,Friday,1,High,20.0,0,0,Medium
180,TXN_8460432,Furniture,11.0,8.0,88.0,Digital Wallet,Online,2022-02-05,Unknown,February,Saturday,1,Medium,11.0,0,0,Low
181,TXN_9610555,Beverages,6.5,6.0,39.0,Cash,In-store,2022-11-15,False,November,Tuesday,4,Low,6.5,0,0,Low
182,TXN_8136588,Milk Products,27.5,7.0,192.5,Digital Wallet,In-store,2022-10-24,False,October,Monday,4,High,27.5,1,0,Medium
183,TXN_6630594,Milk Products,8.0,5.0,40.0,Cash,In-store,2023-12-03,Unknown,December,Sunday,4,Low,8.0,0,0,Low
184,TXN_4844684,Butchers,33.5,5.0,167.5,Digital Wallet,Online,2022-07-23,False,July,Saturday,3,High,33.5,0,0,High
185,TXN_9882772,Furniture,29.0,9.0,261.0,Cash,Online,2023-08-07,True,August,Monday,3,High,29.0,1,0,Medium
186,TXN_2611065,Milk Products,26.0,8.0,208.0,Cash,In-store,2023-02-05,Unknown,February,Sunday,1,High,26.0,1,0,Medium
187,TXN_9896056,Electric household essentials,33.5,3.0,100.5,Digital Wallet,Online,2022-12-29,True,December,Thursday,4,Medium,33.5,0,0,High
188,TXN_2749184,Food,33.5,5.0,167.5,Credit Card,Online,2023-04-18,Unknown,April,Tuesday,2,High,33.5,0,0,High
189,TXN_3135312,Electric household essentials,27.5,10.0,275.0,Cash,Online,2022-09-27,True,September,Tuesday,3,High,27.5,1,0,Medium
190,TXN_4879766,Computers and electric accessories,33.5,4.0,134.0,Digital Wallet,Online,2023-06-03,False,June,Saturday,2,Medium,33.5,0,0,High
191,TXN_5822350,Electric household essentials,38.0,1.0,38.0,Cash,In-store,2022-03-21,True,March,Monday,1,Low,38.0,0,0,High
192,TXN_2755139,Milk Products,9.5,1.0,9.5,Digital Wallet,Online,2023-12-19,False,December,Tuesday,4,Low,9.5,0,0,Low
193,TXN_1484334,Butchers,14.0,3.0,42.0,Cash,Online,2023-03-19,Unknown,March,Sunday,1,Low,14.0,0,0,Low
194,TXN_3557526,Computers and electric accessories,27.5,9.0,247.5,Digital Wallet,In-store,2023-12-25,Unknown,December,Monday,4,High,27.5,1,0,Medium
195,TXN_8960682,Electric household essentials,5.0,2.0,10.0,Cash,Online,2023-06-10,False,June,Saturday,2,Low,5.0,0,0,Low
